[8],Compound::DB00715,-0.09264468401670456
[15],Compound::DB00661,-0.11891026794910431
[22],Compound::DB08860,-0.14130926132202148
[23],Compound::DB00959,-0.14166933298110962
[32],Compound::DB01118,-0.16071774065494537
[37],Compound::DB08868,-0.18025857210159302
[38],Compound::DB06287,-0.18263301253318787
[41],Compound::DB00175,-0.18443718552589417
[42],Compound::DB00563,-0.1844409555196762
[44],Compound::DB00759,-0.195851132273674
[48],Compound::DB00381,-0.20433229207992554
[51],Compound::DB00860,-0.20910151302814484
[53],Compound::DB00678,-0.21305735409259796
[55],Compound::DB00829,-0.2151685506105423
[60],Compound::DB01016,-0.22890807688236237
[61],Compound::DB00457,-0.23058076202869415
[63],Compound::DB00602,-0.23400473594665527
[67],Compound::DB00876,-0.24493469297885895
[68],Compound::DB02315,-0.2459867298603058
[76],Compound::DB01149,-0.2708972990512848
[78],Compound::DB01307,-0.27887749671936035
[80],Compound::DB01054,-0.2890944480895996
[81],Compound::DB00950,-0.2964266836643219
[85],Compound::DB01115,-0.3163566291332245
[86],Compound::DB00363,-0.3168453574180603
[87],Compound::DB04630,-0.3231599032878876
[90],Compound::DB00530,-0.3331240713596344
[91],Compound::DB01224,-0.3376028835773468
[92],Compound::DB01076,-0.3451642096042633
[93],Compound::DB01004,-0.34633561968803406
[94],Compound::DB00983,-0.34718194603919983
[95],Compound::DB01407,-0.3491699695587158
[97],Compound::DB00343,-0.36911746859550476
[100],Compound::DB01023,-0.37715399265289307
